,price,propertyType,size,exterior,rooms,bathrooms,municipality,distance,status,floor,district,hasLift
146,730.0,flat,45.0,True,2,1,Madrid,4385,good,3,Puente de Vallecas,False
147,600.0,duplex,80.0,False,1,1,Madrid,7223,desconocido,desconocido,desconocido,desconocido
148,600.0,duplex,80.0,False,1,1,Madrid,7141,desconocido,desconocido,desconocido,desconocido
149,725.0,duplex,71.0,True,2,1,Cobeña,23158,good,1,desconocido,False
150,675.0,flat,76.0,True,3,1,Aldea del Fresno,43485,good,2,desconocido,False
151,750.0,flat,54.0,True,1,1,San Sebastián de los Reyes,15834,good,3,Centro Urbano,True
152,750.0,duplex,79.0,True,2,2,Collado Villalba,34697,good,1,Villalba Estación,False
153,700.0,flat,54.0,True,1,1,Madrid,3354,good,2,Usera,True
154,750.0,flat,54.0,True,2,1,Madrid,8322,good,3,Villaverde,False
155,730.0,flat,48.0,True,2,1,Madrid,6997,good,3,San Blas,False
156,650.0,flat,61.0,True,2,1,Alcalá de Henares,28605,good,4,Reyes Católicos,False
157,730.0,flat,63.0,True,2,1,Madrid,7893,good,1,Villaverde,False
158,720.0,flat,50.0,True,2,1,Madrid,7041,good,2,San Blas,False
159,720.0,flat,51.0,True,2,1,Madrid,6973,good,1,San Blas,False
160,750.0,flat,47.0,True,2,1,Madrid,4538,good,1,Puente de Vallecas,False
161,730.0,flat,50.0,True,2,1,Madrid,7411,good,3,Villaverde,False
162,730.0,flat,40.0,True,2,1,Madrid,4201,good,2,Puente de Vallecas,False
163,670.0,flat,67.0,True,2,1,Valdemoro,25100,good,1,Zona Estación,True
164,740.0,flat,52.0,True,2,1,Madrid,4862,good,3,Puente de Vallecas,False
165,720.0,flat,69.0,True,2,1,Alcalá de Henares,29084,good,1,Chorrillo,True
166,750.0,flat,59.0,True,2,1,Madrid,8400,good,4,Villaverde,False
167,740.0,flat,45.0,True,2,1,Madrid,7720,good,3,Villaverde,False
168,740.0,flat,60.0,True,2,1,Madrid,6670,good,1,Villaverde,True
169,730.0,studio,45.0,False,0,1,Madrid,854,good,desconocido,Centro,True
170,620.0,flat,75.0,True,3,1,Parla,21044,good,desconocido,Reyes,True
171,695.0,flat,67.0,True,2,1,Fuenlabrada,16111,good,desconocido,Sudeste Industrial,False
172,650.0,flat,95.0,True,3,1,Navalcarnero,29884,good,desconocido,Centro,True
173,675.0,flat,68.0,True,2,1,Alcalá de Henares,30461,good,desconocido,Juan de Austria,True
174,695.0,flat,65.0,True,2,1,Madrid,8484,good,desconocido,Vicálvaro,False
175,750.0,flat,111.0,True,2,2,Parla,20583,good,6,Centro,True
176,675.0,flat,35.0,False,1,1,Madrid,1016,desconocido,desconocido,desconocido,desconocido
177,730.0,flat,60.0,False,3,1,Parla,20756,good,3,Reyes,False
178,690.0,flat,85.0,True,2,1,Parla,20804,good,desconocido,Reyes,True
179,750.0,flat,45.0,False,1,1,Madrid,5089,good,bj,Tetuán,False
180,600.0,studio,32.0,True,0,1,Madrid,6325,good,1,San Blas,True
181,723.0,studio,25.0,True,0,1,Rivas-Vaciamadrid,16775,newdevelopment,desconocido,Rivas Futura,True
182,725.0,flat,50.0,True,1,1,Madrid,10503,good,1,San Blas,True
183,750.0,flat,67.0,True,3,1,Getafe,11657,desconocido,desconocido,desconocido,desconocido
184,600.0,flat,45.0,True,2,1,Mataelpino,41003,desconocido,desconocido,desconocido,desconocido
185,750.0,flat,70.0,True,3,1,San Fernando de Henares,14642,good,2,Montserrat - Parque Empresarial,False
