,price,rooms,municipality,status,floor,hasLift,size_MinMax,distance_MinMax,propertyType_chalet,propertyType_countryHouse,propertyType_duplex,propertyType_flat,propertyType_penthouse,propertyType_studio,exterior_False,exterior_True,bathrooms_1,bathrooms_2,bathrooms_3
69,695.0,710.948085191854,706.8106482790962,701.970873786407,682.8892293349359,696.3333379576432,0.7446808510638298,0.1337634942300533,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
70,750.0,689.5390471579225,706.8106482790962,701.970873786407,682.8892293349359,696.3333379576432,0.3723404255319149,0.1034158793185967,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
71,650.0,704.5562854110732,706.8106482790962,701.970873786407,682.8892293349359,705.692305461913,0.4787234042553191,0.1307500044316026,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
72,666.0,689.5390471579225,697.4841470922099,701.970873786407,710.5365065594968,705.692305461913,0.5319148936170213,0.4374700866821477,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
73,750.0,704.5562854110732,702.3917346259143,701.970873786407,682.8892293349359,705.692305461913,0.6170212765957447,0.5281229503837769,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
74,630.0,710.948085191854,690.1051162446812,701.970873786407,682.8892293349359,705.692305461913,0.574468085106383,0.6434687040221226,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
75,635.0,695.0776273114345,690.7391638502289,701.970873786407,705.544032472127,705.692305461913,0.3723404255319149,0.2542853597575027,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
76,725.0,704.5562854110732,700.7576087111507,701.970873786407,710.5365065594968,705.692305461913,0.5212765957446809,0.6329923953698616,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
77,750.0,689.5390471579225,706.8106482790962,701.970873786407,710.5365065594968,696.3333379576432,0.1595744680851063,0.0119830535514863,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
78,690.0,704.5562854110732,706.8106482790962,701.970873786407,701.7385556407845,696.3333379576432,0.4787234042553191,0.0804956304397922,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
79,700.0,695.0776273114345,706.8106482790962,701.970873786407,705.544032472127,705.692305461913,0.1063829787234042,0.0152092602768865,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
80,730.0,710.948085191854,701.3645426202124,701.970873786407,710.5365065594968,696.3333379576432,0.4680851063829787,0.355449984932551,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
81,750.0,689.5390471579225,706.8106482790962,701.970873786407,710.5365065594968,705.692305461913,0.3297872340425531,0.0576640136138833,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
82,750.0,689.5390471579225,706.3158902622191,701.970873786407,712.0699594988107,705.692305461913,0.2978723404255319,0.3606083704110754,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
83,690.0,689.5390471579225,706.8106482790962,701.970873786407,682.8892293349359,696.3333379576432,0.1595744680851063,0.0818782904649637,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
84,750.0,710.948085191854,703.2303101041684,701.970873786407,712.0699594988107,705.692305461913,0.574468085106383,0.2275007533724496,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
85,700.0,689.5390471579225,706.8106482790962,701.970873786407,678.7988667568208,696.3333379576432,0.1595744680851063,0.0118589686774325,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
86,720.0,689.5390471579225,706.8106482790962,701.970873786407,712.0699594988107,705.692305461913,0.2340425531914893,0.1444702462198429,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
87,595.0,689.5390471579225,685.5513196419763,701.970873786407,710.5365065594968,696.3333379576432,0.3723404255319149,0.52321273465336,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
88,700.0,689.5390471579225,706.8106482790962,701.970873786407,710.5365065594968,696.3333379576432,0.2659574468085106,0.0164855618385833,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
89,700.0,704.5562854110732,690.7221836842307,701.970873786407,710.5365065594968,696.3333379576432,0.5851063829787234,0.7752113874461561,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
90,675.0,704.5562854110732,687.6498585485582,701.970873786407,705.544032472127,696.3333379576432,0.7127659574468085,0.7856345168666797,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
