,price,propertyType,exterior,rooms,bathrooms,municipality,status,floor,hasLift,size_MinMax,distance_MinMax,outliers_ifo_0.01_100,outliers_ifo_0.01_400,outliers_ifo_0.01_1000,outliers_ifo_0.01_2000,outliers_ifo_0.05_100,outliers_ifo_0.05_400,outliers_ifo_0.05_1000,outliers_ifo_0.05_2000,outliers_ifo_0.1_100,outliers_ifo_0.1_400,outliers_ifo_0.1_1000,outliers_ifo_0.1_2000
57,650.0,flat,True,1,1,Madrid,good,4,True,0.3723404255319149,0.1827947458919043,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
58,725.0,flat,True,1,1,Madrid,good,2,True,0.3191489361702128,0.1333912396078918,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
59,750.0,flat,True,3,1,Alcalá de Henares,good,8,True,0.797872340425532,0.501657419389148,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
60,700.0,penthouse,True,1,1,Madrid,good,1,True,0.1063829787234042,0.2103415879318597,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
61,700.0,flat,False,1,1,Madrid,good,3,False,0.0744680851063829,0.0214135039795791,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
62,650.0,flat,True,2,1,Alcalá de Henares,good,1,True,0.4148936170212766,0.5385106269831422,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
63,550.0,flat,True,1,1,Paracuellos de Jarama,good,3,True,0.8724271670624579,0.6734192777941136,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
64,650.0,flat,True,1,1,Madrid,good,4,True,0.3723404255319149,0.1792671901866591,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
65,750.0,flat,True,2,1,Madrid,good,desconocido,True,0.4787234042553191,0.0956694378955205,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
66,725.0,flat,True,2,1,Madrid,good,desconocido,True,0.5319148936170213,0.0697356992182652,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
67,700.0,flat,True,1,1,Alcalá de Henares,good,1,False,0.6382978723404256,0.51897612252495,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
68,650.0,flat,True,1,1,Madrid,good,bj,True,0.2127659574468085,0.213443709783206,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
69,695.0,flat,True,3,1,Madrid,good,desconocido,False,0.7446808510638298,0.1337634942300533,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
70,750.0,flat,True,1,1,Madrid,good,desconocido,False,0.3723404255319149,0.1034158793185967,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
71,650.0,flat,True,2,1,Madrid,good,desconocido,True,0.4787234042553191,0.1307500044316026,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
72,666.0,flat,True,1,2,Villanueva del Pardillo,good,1,True,0.5319148936170213,0.4374700866821477,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
73,750.0,flat,True,2,2,Alcalá de Henares,good,desconocido,True,0.6170212765957447,0.5281229503837769,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
74,630.0,flat,True,3,1,El Molar,good,desconocido,True,0.574468085106383,0.6434687040221226,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
75,635.0,studio,True,0,1,Leganés,good,2,True,0.3723404255319149,0.2542853597575027,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
76,725.0,flat,True,2,1,Collado Villalba,good,1,True,0.5212765957446809,0.6329923953698616,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
77,750.0,flat,False,1,1,Madrid,good,1,False,0.1595744680851063,0.0119830535514863,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
